"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание заказа с авторизацией, но с несколькими ингредиентами","5537","createOrderWithMultipleIngredientsTest","","Sun Jun 15 16:41:59 MSK 2025","passed","Sun Jun 15 16:42:04 MSK 2025","","tests.OrderTest","tests.OrderTest","createOrderWithMultipleIngredientsTest"
"Создание уникального пользователя. Ожидается успешная регистрация с получением accessToken.","1471","createUniqueUserTest","","Sun Jun 15 16:41:49 MSK 2025","passed","Sun Jun 15 16:41:50 MSK 2025","","tests.UserTest","tests.UserTest","createUniqueUserTest"
"Вход с неверным логином или паролем. Ожидается ошибка 401.","394","loginWithWrongCredentialsTest","","Sun Jun 15 16:41:49 MSK 2025","passed","Sun Jun 15 16:41:49 MSK 2025","","tests.UserTest","tests.UserTest","loginWithWrongCredentialsTest"
"Создание заказа без ингредиентов","2624","createOrderWithoutIngredientsTest","","Sun Jun 15 16:42:07 MSK 2025","passed","Sun Jun 15 16:42:10 MSK 2025","","tests.OrderTest","tests.OrderTest","createOrderWithoutIngredientsTest"
"Успешный вход под существующим пользователем.","2128","loginExistingUserTest","","Sun Jun 15 16:41:46 MSK 2025","passed","Sun Jun 15 16:41:48 MSK 2025","","tests.UserTest","tests.UserTest","loginExistingUserTest"
"Создание уже зарегистрированного пользователя. Ожидается ошибка 403.","4429","createDuplicateUserTest","","Sun Jun 15 16:41:41 MSK 2025","passed","Sun Jun 15 16:41:46 MSK 2025","","tests.UserTest","tests.UserTest","createDuplicateUserTest"
"Создание заказа без авторизации и с валидными ингредиентами","2966","createOrderWithoutAuthTest","","Sun Jun 15 16:42:04 MSK 2025","passed","Sun Jun 15 16:42:07 MSK 2025","","tests.OrderTest","tests.OrderTest","createOrderWithoutAuthTest"
"Создание заказа с авторизацией и валидными ингредиентами","5620","createOrderWithAuthAndIngredientsTest","","Sun Jun 15 16:41:53 MSK 2025","passed","Sun Jun 15 16:41:59 MSK 2025","","tests.OrderTest","tests.OrderTest","createOrderWithAuthAndIngredientsTest"
"Создание заказа с невалидным ингредиентом","2439","createOrderWithInvalidIngredientTest","","Sun Jun 15 16:41:50 MSK 2025","passed","Sun Jun 15 16:41:53 MSK 2025","","tests.OrderTest","tests.OrderTest","createOrderWithInvalidIngredientTest"
"Создание пользователя без одного обязательного поля. Ожидается ошибка 403.","459","createUserWithoutRequiredFieldTest","","Sun Jun 15 16:41:48 MSK 2025","passed","Sun Jun 15 16:41:49 MSK 2025","","tests.UserTest","tests.UserTest","createUserWithoutRequiredFieldTest"
